number,Filename,category,class,duration,Dissimilarity 0,Dissimilarity 45,Dissimilarity 90,Dissimilarity 135,Energy 0,Energy 45,Energy 90,Energy 135,Homogeneity 0,Homogeneity 45,Homogeneity 90,Homogeneity 135,Contrast 0,Contrast 45,Contrast 90,Contrast 135,Correlation 0,Correlation 45,Correlation 90,Correlation 135
1,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1.png,good,0,0.01599999999962165,3.4990633415291006,7.256059912432037,5.843842019163316,7.054348464039588,0.9248944508021029,0.9170868928783587,0.9204185804635688,0.9175093639957843,0.9350038702141079,0.9221383085252219,0.9269875081677081,0.9227449305427198,642.7323615501671,1504.2688664295465,1184.5369712549661,1457.694486506785,0.9019342204194086,0.7710301980990916,0.8189739691951934,0.7781194404430333
2,CAMERA 4_OZ/good_cropped_png/OZ_Cropped10.png,good,0,0.030999999999039574,3.4562346329469684,7.279184420889484,5.796541247955079,7.108720404737563,0.923513205149879,0.915678873081048,0.9190983204392703,0.9160308071099682,0.9345074269010861,0.9215040690142668,0.9262784528409975,0.9214571729034323,639.3920501112261,1515.4250448991002,1177.898574433277,1472.7196886995014,0.9053369031179365,0.7760866549769911,0.8252573818305226,0.7823852796872812
3,CAMERA 4_OZ/good_cropped_png/OZ_Cropped100.png,good,0,0.031000000002677552,3.4818639503571056,7.26150649716514,5.7915751343771396,7.000845159699921,0.9231498425827578,0.9152667066507334,0.9187585658610402,0.9159120007928645,0.9334541773003597,0.9209161315618731,0.9253365357813674,0.9215321761908192,638.111813604962,1504.7349015741017,1171.1083080158894,1440.1941871793904,0.9036754995114605,0.7732837660053624,0.823014941934035,0.7829961873753424
4,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1000.png,good,0,0.01599999999962165,3.436974593138983,7.247103567278205,5.860434681000179,7.127630853024344,0.9205976209756567,0.9126023104867194,0.9161178688971852,0.9128484999546074,0.9315215905300884,0.9186433124973016,0.9228884805364795,0.9189100721865409,619.0613511298438,1492.8056484839856,1179.5696658097645,1463.832423612814,0.9098070946063902,0.7830235236617099,0.8278291478849212,0.7872347270739509
5,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1001.png,good,0,0.030999999999039574,3.4180306755649363,7.215715275087733,5.812549661135737,7.170898334331062,0.9202582359767413,0.9123561954556058,0.9158844974585795,0.9125437561722739,0.9320786409150349,0.9189661594359664,0.9233405136436251,0.9188779570896382,624.3894157592788,1496.8799051542896,1178.5653657396579,1485.2073810613772,0.9092407225129235,0.7829332686362324,0.8283726761278611,0.7846259339214653
6,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1002.png,good,0,0.030999999999039574,3.4962884908090377,7.260039206019385,5.8417854638933715,7.16714206899786,0.9193094859352258,0.9114393408648583,0.9148904400568306,0.911591838125692,0.9297158680231297,0.9175745823103542,0.9221716987721764,0.917813019013696,622.1903992506725,1471.2733269946286,1156.530264080391,1448.8659600192395,0.9073133616985365,0.7813452960321633,0.827397354644813,0.7846753884784899
7,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1003.png,good,0,0.01599999999962165,3.4528977871443702,7.157563592398226,5.710796915167045,7.077836860701215,0.9196141792417298,0.911932989025994,0.9153932517060199,0.9120619243632736,0.9312099180234651,0.9188117069049029,0.9234983154086971,0.9185313090259865,637.1440814892864,1483.554483454818,1154.1592661836858,1463.701799485854,0.9088944663054905,0.7883675317843893,0.8346632397677383,0.7911995629338435
8,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1004.png,good,0,0.031000000002677552,3.428872497365663,7.23740770738689,5.877120822622048,7.135096430374075,0.9203514936675832,0.9125192862557617,0.9158720431778855,0.9126834800795471,0.931099597136836,0.9183802720600599,0.9227972735271979,0.918600703992538,614.029762322912,1478.6116608561822,1177.065552699228,1455.5364533812165,0.908921149120201,0.781197233548703,0.8250853351133607,0.7846118686186272
9,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1005.png,good,0,0.030999999999039574,3.459899309214384,7.189937904238679,5.719467165225464,6.981230411663164,0.9204687281112631,0.9126958787954497,0.9163046857341203,0.9131532811213101,0.9315778528402532,0.9189408758654073,0.9236974048170481,0.9193909162471158,626.1985013464468,1475.7206277658343,1146.7458050946477,1425.9802561303347,0.9073404047136386,0.7820022626036388,0.829973876070165,0.7893383265353369
10,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1006.png,good,0,0.0319999999992433,3.446926589392359,7.25348921834463,5.856274830567829,7.092462818842339,0.918712536691551,0.9107703674042495,0.914306269718686,0.9110283394420786,0.9296756514230186,0.9168873126842272,0.9212030759689868,0.9173388531872424,607.4112867345734,1459.062130976267,1148.720448702966,1419.8630841285924,0.9091911658456652,0.7823836807086675,0.8279496338386149,0.7882301433874087
11,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1007.png,good,0,0.014999999999417923,3.421285563751323,7.280628235376946,5.88111708343066,7.193764599546878,0.9206093012508348,0.9126257445298692,0.9160947038098849,0.9128602569285704,0.9316752142152543,0.9186325245526864,0.9227430102282284,0.9189732475523482,622.6225500526868,1506.6896737918266,1191.312292591726,1484.1115610803884,0.9089720577439608,0.7802422917339937,0.8255089890270337,0.7835354146595327
12,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1008.png,good,0,0.030999999999039574,3.50101861608712,7.288117289384998,5.871652255199762,7.248746933361468,0.9170736240988505,0.909245068480039,0.9126125695738653,0.9092215036970168,0.9284628414165175,0.9159855614667947,0.9206781277437935,0.9161105322538344,641.8729422784213,1500.0063621744034,1178.3481187193252,1490.0772382059104,0.9097271044010036,0.7895366241105877,0.8339741002456434,0.7909297628350132
13,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1009.png,good,0,0.03200000000288128,3.447910080786799,7.325374746158577,5.91647581210558,7.228063997370573,0.9179634049020472,0.9099379388403018,0.9134191395324429,0.91012562113265,0.9297957054353253,0.9162338577557049,0.9207275239145092,0.9168164137568315,625.3142489169871,1510.1171485250704,1196.1794578172478,1487.2302003732682,0.9113109964492433,0.7863238165287312,0.8300338002047042,0.7895622379566044
14,CAMERA 4_OZ/good_cropped_png/OZ_Cropped101.png,good,0,0.014999999999417923,3.4434375365882324,7.220809709945854,5.803610656695434,7.061297554906005,0.9231966156048462,0.9153840945921098,0.9188638266899244,0.915677395736843,0.9331957548465095,0.9209623406413615,0.9249456284048595,0.920880064109383,622.0500878117318,1486.6625347747897,1168.727938770739,1448.0696435069378,0.9065666544499615,0.7772166349760636,0.8241305486642736,0.7829893840248034
15,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1010.png,good,0,0.0319999999992433,3.427209928579799,7.178082191780785,5.822902547324097,7.134462560599096,0.9206326972044167,0.912871852132716,0.9161995844906269,0.9128834304732517,0.9316153430454692,0.9186913917879266,0.9226198362296353,0.9184172442122019,614.9168013113207,1462.9081710509242,1156.3967983173643,1451.050087450543,0.9087656969511225,0.7834645125436571,0.8281116677528904,0.7852197121956338
16,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1011.png,good,0,0.030999999999039574,3.3921086523826354,7.335680999166549,5.899182051881207,7.199798100738301,0.9192275728057804,0.9111812595317424,0.9147152307812436,0.9113453376470537,0.9305921437917563,0.9170919597237099,0.9214704171679764,0.9173175135511111,607.8461538461534,1500.289185477332,1176.6727506426737,1464.0376096066434,0.9098898221290712,0.7781152453650778,0.8252440503160787,0.7834766597477607
17,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1012.png,good,0,0.014999999999417923,3.3421613394216196,7.222030496179143,5.878055620472033,7.133429587632462,0.9203166662322689,0.9122377865531547,0.9156970937416594,0.9124254401703269,0.9317428467402882,0.9180377374196467,0.9226432525005792,0.918190121018733,593.8398782343982,1470.6026223427264,1167.6236971254953,1444.9823103379374,0.9101946875850757,0.7781301842271545,0.8230977780914369,0.7819955206669126
18,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1013.png,good,0,0.03200000000288128,3.5206767357452438,7.27016938408983,5.846833372283177,7.166731227477048,0.9187591924798099,0.9108057659624292,0.9142829902215921,0.9109933486831185,0.9297156401752107,0.9171410723464631,0.9216773184022987,0.9172642591653584,632.2418569254183,1482.0663332981119,1161.7645477915382,1455.7739784718951,0.9077835204829628,0.7843417915879528,0.8302697992162006,0.7881676406807766
19,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1014.png,good,0,0.030999999999039574,3.4415642196464216,7.105609747508507,5.741388174807152,6.98238076792145,0.9252216569375653,0.91743700744261,0.9208844064213284,0.9178125023468644,0.9348618692643961,0.9224069858525376,0.9262994386751316,0.9226442498677051,613.4429223744282,1432.863330633514,1133.3208459920545,1402.6513833620859,0.9001353503430957,0.7672943984662282,0.8151613979540185,0.7722009999633843
20,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1015.png,good,0,0.01599999999962165,3.4460601803067576,7.2201523635125335,5.8760458050945985,7.173034710239318,0.9188529145291953,0.910817179576212,0.9142244296635867,0.9109578746011693,0.9299936267184931,0.9167385449966661,0.9211736479068986,0.917401184592057,610.530382859149,1456.732119590085,1157.875999065204,1441.5336831355344,0.9093430278102016,0.784202700460267,0.8277528570474593,0.7864541655718075
21,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1016.png,good,0,0.030999999999039574,3.445076688912313,7.137538002840639,5.739939238139697,6.945569367656172,0.9243670098435379,0.9165331589847412,0.9199728645602022,0.9169554846880003,0.9339395287406645,0.9217000793615536,0.9259023859976465,0.9221487649241258,608.4569722514914,1434.1474334143234,1125.4763963542832,1388.3236257351052,0.9023355080431867,0.7703503763049708,0.8190140450436796,0.7776881296939305
22,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1017.png,good,0,0.031000000002677552,3.423650626390366,7.241281356011761,5.828254265015139,7.098824993250434,0.9192042225889937,0.9112046619227432,0.9146919123951397,0.9114861410904243,0.93001226008302,0.9170534245536156,0.9220545896007136,0.917488727766704,609.5677086992154,1472.6681691727902,1156.6447067071754,1435.0938009883578,0.9105705493202184,0.7844562101798378,0.8299976509044175,0.7899556987191417
23,CAMERA 4_OZ/good_cropped_png/OZ_Cropped1018.png,good,0,0.01599999999962165,3.445357686453578,7.144158420490391,5.768380462724873,7.044593912502459,0.9206091396896704,0.9128244092358256,0.9162341729234293,0.9130237724208331,0.931143145821297,0.9190112227576598,0.9233071202718701,0.9189605007671955,618.7505912656579,1453.223838198863,1142.8897873334888,1428.732565646599,0.9084906008471931,0.7855862344972835,0.8306628456758383,0.7891997631443151
